,News,News tok,True label,Pred label
103,Jul In nutrition news this week Lonza entered into a binding contractual commitment to acquire a sterile drug product fill and finish facility from Novartis while Fonterra's NZMP was granted the Good Energy Award for its positive impact on the communities it affects....Original Source: manicapost,"[['Jul', 'nutrition', 'news', 'this', 'week', 'Lonza', 'entered', 'into', 'binding', 'contractual', 'commitment', 'acquire', 'sterile', 'drug', 'product', 'fill', 'and', 'finish', 'facility', 'from', 'Novartis', 'while', ""Fonterra's"", 'NZMP', 'was', 'granted', 'the', 'Good', 'Energy', 'Award', 'for', 'its', 'positive', 'impact', 'the', 'communities', 'affects....Original', 'Source:', 'manicapost']]",1,0
104,Top terms products business company's common shares united states neptune wellnessOriginal Source: traders,"[['Top', 'terms', 'products', 'business', ""company's"", 'common', 'shares', 'united', 'states', 'neptune', 'wellnessOriginal', 'Source:', 'traders']]",1,0
105,Top terms infrared spectroscopy food spectroscopy and multivariate cocoa bean quality theobroma cacaoOriginal Source: rsdjournal,"[['Top', 'terms', 'infrared', 'spectroscopy', 'food', 'spectroscopy', 'and', 'multivariate', 'cocoa', 'bean', 'quality', 'theobroma', 'cacaoOriginal', 'Source:', 'rsdjournal']]",1,0
106,LAHORE : The Punjab Food Authority PFA on Wednesday closed down four food businesses while carrying out an operation under the supervision of its Director General Irfan Memon against adulterators unhygienic food points and food processing units in the area of Pattoki and Kasur....Original Source: dailytimesPK,"[['LAHORE', 'The', 'Punjab', 'Food', 'Authority', 'PFA', 'Wednesday', 'closed', 'down', 'four', 'food', 'businesses', 'while', 'carrying', 'out', 'operation', 'under', 'the', 'supervision', 'its', 'Director', 'General', 'Irfan', 'Memon', 'against', 'adulterators', 'unhygienic', 'food', 'points', 'and', 'food', 'processing', 'units', 'the', 'area', 'Pattoki', 'and', 'Kasur....Original', 'Source:', 'dailytimesPK']]",1,0
107,In the summer extremely efforts should be made to comply with the basic rules of hygiene kitchen whereas the fresh táplálékokat also to the liking of the bacteria so that the food borne outbreaks also becoming more common told the National Food Chain Safety Agency Nébih. In particular the Nébih recommends that a...Original Source: origo,"[['the', 'summer', 'extremely', 'efforts', 'should', 'made', 'comply', 'with', 'the', 'basic', 'rules', 'hygiene', 'kitchen', 'whereas', 'the', 'fresh', 'táplálékokat', 'also', 'the', 'liking', 'the', 'bacteria', 'that', 'the', 'food', 'borne', 'outbreaks', 'also', 'becoming', 'more', 'common', 'told', 'the', 'National', 'Food', 'Chain', 'Safety', 'Agency', 'Nébih.'], ['particular', 'the', 'Nébih', 'recommends', 'that', 'a...Original', 'Source:', 'origo']]",1,0
108,"Proved to be contaminated with materials carcinogenic confirmed the public food and medicine safety of additional medicines containing a article ميتفورمين to treat diabetes of chemical pollution through adulteration of the family of ""النيتروزامين"" known as the substance NDMA N nitrosodimethylamine within the articles is likely to be carcinogenic according to the International Research Agency....Original Source: openpr","[['Proved', 'contaminated', 'with', 'materials', 'carcinogenic', 'confirmed', 'the', 'public', 'food', 'and', 'medicine', 'safety', 'additional', 'medicines', 'containing', 'article', 'ميتفورمين', 'treat', 'diabetes', 'chemical', 'pollution', 'through', 'adulteration', 'the', 'family', '""النيتروزامين""', 'known', 'the', 'substance', 'NDMA', 'nitrosodimethylamine', 'within', 'the', 'articles', 'likely', 'carcinogenic', 'according', 'the', 'International', 'Research', 'Agency....Original', 'Source:', 'openpr']]",1,0
109,Top terms investigating illnesses linked eating lucky charms general mills linked to lucky drug administrationOriginal Source: downtoearth,"[['Top', 'terms', 'investigating', 'illnesses', 'linked', 'eating', 'lucky', 'charms', 'general', 'mills', 'linked', 'lucky', 'drug', 'administrationOriginal', 'Source:', 'downtoearth']]",1,0
110,ISLAMABAD Chairman Senate Standing Committee on Interior Senator A. Rehman Malik on Thursday said that a healthy society is not only vital for better quality of life but it also boosts the quality of human capital and socioeconomic development of the country....Original Source: urdupoint,"[['ISLAMABAD', 'Chairman', 'Senate', 'Standing', 'Committee', 'Interior', 'Senator', 'Rehman', 'Malik', 'Thursday', 'said', 'that', 'healthy', 'society', 'not', 'only', 'vital', 'for', 'better', 'quality', 'life', 'but', 'also', 'boosts', 'the', 'quality', 'human', 'capital', 'and', 'socioeconomic', 'development', 'the', 'country....Original', 'Source:', 'urdupoint']]",1,0
111,"The General Authority for food and medicine confirmed the safety of additional medicines containing a article ميتفورمين to treat diabetes chemical pollution through adulteration of the family of ""النيتروزامين"" known as the substance NDMA N nitrosodimethylamine within the articles are likely to be carcinogenic according to the International Cancer Research Agency if exposure....Original Source: yahoo au","[['The', 'General', 'Authority', 'for', 'food', 'and', 'medicine', 'confirmed', 'the', 'safety', 'additional', 'medicines', 'containing', 'article', 'ميتفورمين', 'treat', 'diabetes', 'chemical', 'pollution', 'through', 'adulteration', 'the', 'family', '""النيتروزامين""', 'known', 'the', 'substance', 'NDMA', 'nitrosodimethylamine', 'within', 'the', 'articles', 'are', 'likely', 'carcinogenic', 'according', 'the', 'International', 'Cancer', 'Research', 'Agency', 'exposure....Original', 'Source:', 'yahoo']]",1,0
112,The Carabinieri of NAS has always been at the forefront of the health interests by combatting fraud and food adulteration. In this respect the core of Catania has discovered alaboratory extraction abusive In a private house and In serious condition.Original Source: natlawreview,"[['The', 'Carabinieri', 'NAS', 'has', 'always', 'been', 'the', 'forefront', 'the', 'health', 'interests', 'combatting', 'fraud', 'and', 'food', 'adulteration.'], ['this', 'respect', 'the', 'core', 'Catania', 'has', 'discovered', 'alaboratory', 'extraction', 'abusive', 'private', 'house', 'and', 'serious', 'condition.Original', 'Source:', 'natlawreview']]",1,0
113,Top terms lab to check food testing laboratory kmc check adulteration adulteration in foodOriginal Source: archyde,"[['Top', 'terms', 'lab', 'check', 'food', 'testing', 'laboratory', 'kmc', 'check', 'adulteration', 'adulteration', 'foodOriginal', 'Source:', 'archyde']]",1,0
114,Why did PeopleSoft in the midst of a takeover fight with Oracle fire its chief executive and president?  Who knows?  And that's a problem.,"[['Why', 'did', 'PeopleSoft', 'the', 'midst', 'takeover', 'fight', 'with', 'Oracle', 'fire', 'its', 'chief', 'executive', 'and', 'president?'], ['Who', 'knows?'], ['And', ""that's"", 'problem.']]",0,1
115,Original Source: business standard,"[['Original', 'Source:', 'business', 'standard']]",1,0
116,As experts allege ‘grand conspiracy’ against the local palm oil industry TAIWO ALIMI investigates how Nigeria became a dumping ground for unhealthy cooking oil high in cholesterol killing thousands annually. Govt must take on food giants outlaw trans fats – Experts; How influx of ‘bad’ cooking.......Original Source: thenationonlineng,"[['experts', 'allege', '‘grand', 'conspiracy’', 'against', 'the', 'local', 'palm', 'oil', 'industry', 'TAIWO', 'ALIMI', 'investigates', 'how', 'Nigeria', 'became', 'dumping', 'ground', 'for', 'unhealthy', 'cooking', 'oil', 'high', 'cholesterol', 'killing', 'thousands', 'annually.'], ['Govt', 'must', 'take', 'food', 'giants', 'outlaw', 'trans', 'fats', 'Experts;', 'How', 'influx', '‘bad’', 'cooking.......Original', 'Source:', 'thenationonlineng']]",1,0
117,Kashmir which is also called 'Paradise on Earth' is celebrated for a ton of things including its scenic beauty plentiful wildlife local handicrafts local food and one of the significant things which gets Kashmir on the global map is its famous spice and health rejuvenator 'Kashmir Saffron' which.......Original Source: mondaq,"[['Kashmir', 'which', 'also', 'called', ""'Paradise"", ""Earth'"", 'celebrated', 'for', 'ton', 'things', 'including', 'its', 'scenic', 'beauty', 'plentiful', 'wildlife', 'local', 'handicrafts', 'local', 'food', 'and', 'one', 'the', 'significant', 'things', 'which', 'gets', 'Kashmir', 'the', 'global', 'map', 'its', 'famous', 'spice', 'and', 'health', 'rejuvenator', ""'Kashmir"", ""Saffron'"", 'which.......Original', 'Source:', 'mondaq']]",1,0
118,Request for FREE sample report @ The Diagnostics refers to the procedure of verification of eatables in order to check safety and to decrease the risk of contamination causing illness. The testing involves validation of product as indicated on the labels....Original Source: risingkashmir,"[['Request', 'for', 'FREE', 'sample', 'report', 'The', 'Diagnostics', 'refers', 'the', 'procedure', 'verification', 'eatables', 'order', 'check', 'safety', 'and', 'decrease', 'the', 'risk', 'contamination', 'causing', 'illness.'], ['The', 'testing', 'involves', 'validation', 'product', 'indicated', 'the', 'labels....Original', 'Source:', 'risingkashmir']]",1,0
119,Top terms unhygienic oil discarded supply a consignment provincial metropolis foiled an attempt shoaib khan jadoonOriginal Source: nypost,"[['Top', 'terms', 'unhygienic', 'oil', 'discarded', 'supply', 'consignment', 'provincial', 'metropolis', 'foiled', 'attempt', 'shoaib', 'khan', 'jadoonOriginal', 'Source:', 'nypost']]",1,0
120,Top terms state's lone food safety standards act legal power lone food lab namkum in ranchiOriginal Source: deredactie en,"[['Top', 'terms', ""state's"", 'lone', 'food', 'safety', 'standards', 'act', 'legal', 'power', 'lone', 'food', 'lab', 'namkum', 'ranchiOriginal', 'Source:', 'deredactie']]",1,0
121,quot;Do you have it in your heart?  How much guts do you have?  How much do you hate to lose?  quot;. These are the questions Jimmy Connors will be asking of Britain #;s brightest tennis hopes in the months and possibly years to come.,"[['quot;Do', 'you', 'have', 'your', 'heart?'], ['How', 'much', 'guts', 'you', 'have?'], ['How', 'much', 'you', 'hate', 'lose?'], ['quot;.'], ['These', 'are', 'the', 'questions', 'Jimmy', 'Connors', 'will', 'asking', 'Britain', '#;s', 'brightest', 'tennis', 'hopes', 'the', 'months', 'and', 'possibly', 'years', 'come.']]",0,1
122,Top terms apricot authentication dna high resolution melting analysisOriginal Source: menafn,"[['Top', 'terms', 'apricot', 'authentication', 'dna', 'high', 'resolution', 'melting', 'analysisOriginal', 'Source:', 'menafn']]",1,0
123,Top terms lucky charms investigation launched fall ill popular cereal sold launched over breakfastOriginal Source: southwalesargus,"[['Top', 'terms', 'lucky', 'charms', 'investigation', 'launched', 'fall', 'ill', 'popular', 'cereal', 'sold', 'launched', 'over', 'breakfastOriginal', 'Source:', 'southwalesargus']]",1,0
124,Top terms opt for organic minister safety department organic farming healthyOriginal Source: rsdjournal,"[['Top', 'terms', 'opt', 'for', 'organic', 'minister', 'safety', 'department', 'organic', 'farming', 'healthyOriginal', 'Source:', 'rsdjournal']]",1,0
125,MADISON Wis. Anthony Davis ran for yards and two touchdowns and quarterback John Stocco threw for a career high yards and a touchdown as No. Wisconsin remained unbeaten with a rout of archrival Minnesota. Stocco also ran for two touchdowns as the Badgers for the third time in school history moved into a first place tie ...,"[['MADISON', 'Wis.', 'Anthony', 'Davis', 'ran', 'for', 'yards', 'and', 'two', 'touchdowns', 'and', 'quarterback', 'John', 'Stocco', 'threw', 'for', 'career', 'high', 'yards', 'and', 'touchdown', 'No.'], ['Wisconsin', 'remained', 'unbeaten', 'with', 'rout', 'archrival', 'Minnesota.'], ['Stocco', 'also', 'ran', 'for', 'two', 'touchdowns', 'the', 'Badgers', 'for', 'the', 'third', 'time', 'school', 'history', 'moved', 'into', 'first', 'place', 'tie', '...']]",0,1
126,– By John G. Keogh Researcher Food Chain Transparency Technology and Supply Chains University of Reading. The globalization of the food chain has resulted in increased complexity and diminished transparency and trust into how and where our foods are grown harvested processed and by whom....Original Source: foreignaffairs nz,"[['John', 'Keogh', 'Researcher', 'Food', 'Chain', 'Transparency', 'Technology', 'and', 'Supply', 'Chains', 'University', 'Reading.'], ['The', 'globalization', 'the', 'food', 'chain', 'has', 'resulted', 'increased', 'complexity', 'and', 'diminished', 'transparency', 'and', 'trust', 'into', 'how', 'and', 'where', 'our', 'foods', 'are', 'grown', 'harvested', 'processed', 'and', 'whom....Original', 'Source:', 'foreignaffairs']]",1,0
127,ISLAMABAD/LAHORE: The National Command and Operation Center NCOC Monday decided to impose a smart lockdown in major cities of the country after rise in the number of infection and deaths from the new coronavirus disease COVID . The decision was taken in line with the prime minister’s.......Original Source: thenews pk,"[['ISLAMABAD/LAHORE:', 'The', 'National', 'Command', 'and', 'Operation', 'Center', 'NCOC', 'Monday', 'decided', 'impose', 'smart', 'lockdown', 'major', 'cities', 'the', 'country', 'after', 'rise', 'the', 'number', 'infection', 'and', 'deaths', 'from', 'the', 'new', 'coronavirus', 'disease', 'COVID'], ['The', 'decision', 'was', 'taken', 'line', 'with', 'the', 'prime', 'minister’s.......Original', 'Source:', 'thenews']]",1,0
128,Top terms selling substandard food department imposes fine pakistan point news found guilty substandard food itemsOriginal Source: sunnewsonline,"[['Top', 'terms', 'selling', 'substandard', 'food', 'department', 'imposes', 'fine', 'pakistan', 'point', 'news', 'found', 'guilty', 'substandard', 'food', 'itemsOriginal', 'Source:', 'sunnewsonline']]",1,0
129,Top terms redacted food drug violations firmOriginal Source: novini,"[['Top', 'terms', 'redacted', 'food', 'drug', 'violations', 'firmOriginal', 'Source:', 'novini']]",1,0
130,Top terms sale of under weight commissioner takes notice pakistan point news notice of price hike riaz khan mehsudOriginal Source: albaghdadia,"[['Top', 'terms', 'sale', 'under', 'weight', 'commissioner', 'takes', 'notice', 'pakistan', 'point', 'news', 'notice', 'price', 'hike', 'riaz', 'khan', 'mehsudOriginal', 'Source:', 'albaghdadia']]",1,0
131,Applauds Decisive Move and Commitment by FDA to Advance Rule Banning Menthol As First Step to Reduce Addiction Improve Quitting Reduce Youth Initiation and Reduced Disparities; Movement on Nicotine Cap by FDA Expected to be Forthcoming Tangible Action on Menthol Was Anticipated and Was Thursday’s.......Original Source: traders,"[['Applauds', 'Decisive', 'Move', 'and', 'Commitment', 'FDA', 'Advance', 'Rule', 'Banning', 'Menthol', 'First', 'Step', 'Reduce', 'Addiction', 'Improve', 'Quitting', 'Reduce', 'Youth', 'Initiation', 'and', 'Reduced', 'Disparities;', 'Movement', 'Nicotine', 'Cap', 'FDA', 'Expected', 'Forthcoming', 'Tangible', 'Action', 'Menthol', 'Was', 'Anticipated', 'and', 'Was', 'Thursday’s.......Original', 'Source:', 'traders']]",1,0
132,food safety testing market size share and trend analysis report to growth opportunities and competitive analysis. england united kingdom march / growth in cases or biochemical contamination in food processing production owing to improper use or techniques in the production of.......Original Source: einnews,"[['food', 'safety', 'testing', 'market', 'size', 'share', 'and', 'trend', 'analysis', 'report', 'growth', 'opportunities', 'and', 'competitive', 'analysis.'], ['england', 'united', 'kingdom', 'march', 'growth', 'cases', 'biochemical', 'contamination', 'food', 'processing', 'production', 'owing', 'improper', 'use', 'techniques', 'the', 'production', 'of.......Original', 'Source:', 'einnews']]",1,0
133,Top terms adulteration mafia confiscate equipment shoaib khan jadoon pfa to confiscate pfa director generalOriginal Source: diariodonordeste,"[['Top', 'terms', 'adulteration', 'mafia', 'confiscate', 'equipment', 'shoaib', 'khan', 'jadoon', 'pfa', 'confiscate', 'pfa', 'director', 'generalOriginal', 'Source:', 'diariodonordeste']]",1,0
134,Top terms litre substandard milk punjab food authority special operation chief minister Original Source: livemint,"[['Top', 'terms', 'litre', 'substandard', 'milk', 'punjab', 'food', 'authority', 'special', 'operation', 'chief', 'minister', 'Original', 'Source:', 'livemint']]",1,0
135,the nébih is first and foremost suggested that the population in the meal food preparation with purchased raw materials food products always a trusted place business market obtain. always check the packaging as they are indicated – in hungarian – the name of the product manufacturer or distributor .......Original Source: haon,"[['the', 'nébih', 'first', 'and', 'foremost', 'suggested', 'that', 'the', 'population', 'the', 'meal', 'food', 'preparation', 'with', 'purchased', 'raw', 'materials', 'food', 'products', 'always', 'trusted', 'place', 'business', 'market', 'obtain.'], ['always', 'check', 'the', 'packaging', 'they', 'are', 'indicated', 'hungarian', 'the', 'name', 'the', 'product', 'manufacturer', 'distributor', '.......Original', 'Source:', 'haon']]",1,0
136,OTTAWA July /CNW/ Surveillance and enforcement actions by the Canadian Food Inspection Agency CFIA prevented nearly kg of adulterated honey valued at close to $ from entering the Canadian market the Honourable Marie Claude Bibeau Minister of Agriculture and Agri Food.......Original Source: finanzen ch,"[['OTTAWA', 'July', '/CNW/', 'Surveillance', 'and', 'enforcement', 'actions', 'the', 'Canadian', 'Food', 'Inspection', 'Agency', 'CFIA', 'prevented', 'nearly', 'adulterated', 'honey', 'valued', 'close', 'from', 'entering', 'the', 'Canadian', 'market', 'the', 'Honourable', 'Marie', 'Claude', 'Bibeau', 'Minister', 'Agriculture', 'and', 'Agri', 'Food.......Original', 'Source:', 'finanzen']]",1,0
137,Surat: About eight banana wholesalers located near Sardar Market at Udhana Darwaja were raided by the officials of the Surat Municipal Corporation’s SMC food safety department for allegedly ripening bananas using harmful chemicals. Official sources said that eight samples of liquid and pouches of.......Original Source: ziarulnational,"[['Surat:', 'About', 'eight', 'banana', 'wholesalers', 'located', 'near', 'Sardar', 'Market', 'Udhana', 'Darwaja', 'were', 'raided', 'the', 'officials', 'the', 'Surat', 'Municipal', 'Corporation’s', 'SMC', 'food', 'safety', 'department', 'for', 'allegedly', 'ripening', 'bananas', 'using', 'harmful', 'chemicals.'], ['Official', 'sources', 'said', 'that', 'eight', 'samples', 'liquid', 'and', 'pouches', 'of.......Original', 'Source:', 'ziarulnational']]",1,0
138,Top terms iron fist illegal acts people's livelihood ten types market supervision bureauOriginal Source: fda,"[['Top', 'terms', 'iron', 'fist', 'illegal', 'acts', ""people's"", 'livelihood', 'ten', 'types', 'market', 'supervision', 'bureauOriginal', 'Source:', 'fda']]",1,0
139,AP Yao Ming is refreshed. After a demanding few days in his hometown for the first NBA game in China the Houston Rockets center has had some time to unwind since arriving in Beijing.,"[['Yao', 'Ming', 'refreshed.'], ['After', 'demanding', 'few', 'days', 'his', 'hometown', 'for', 'the', 'first', 'NBA', 'game', 'China', 'the', 'Houston', 'Rockets', 'center', 'has', 'had', 'some', 'time', 'unwind', 'since', 'arriving', 'Beijing.']]",0,1
140,Daphne Koller is pushing the limits of building computer programs that learn efficiently and reason intelligently. Third in a series profiling this year's MacArthur 'genius award' winners. By Kari Lynn Dean.,"[['Daphne', 'Koller', 'pushing', 'the', 'limits', 'building', 'computer', 'programs', 'that', 'learn', 'efficiently', 'and', 'reason', 'intelligently.'], ['Third', 'series', 'profiling', 'this', ""year's"", 'MacArthur', ""'genius"", ""award'"", 'winners.'], ['Kari', 'Lynn', 'Dean.']]",0,1
141,Those were heady days they were back in . The bull market was still roaring. We hadn #;t yet heard of hanging or dimpled chads.,"[['Those', 'were', 'heady', 'days', 'they', 'were', 'back'], ['The', 'bull', 'market', 'was', 'still', 'roaring.'], ['hadn', '#;t', 'yet', 'heard', 'hanging', 'dimpled', 'chads.']]",0,1
142,– carefully check the date of minimum durability the time limit for consumption of products period of validity; – verify directly the characteristics of the product smell colour etc. taking into account that the high temperatures favours the adulteration of food and....Original Source: novini,"[['carefully', 'check', 'the', 'date', 'minimum', 'durability', 'the', 'time', 'limit', 'for', 'consumption', 'products', 'period', 'validity;', 'verify', 'directly', 'the', 'characteristics', 'the', 'product', 'smell', 'colour', 'etc.'], ['taking', 'into', 'account', 'that', 'the', 'high', 'temperatures', 'favours', 'the', 'adulteration', 'food', 'and....Original', 'Source:', 'novini']]",1,0
143,top terms epidemic catering breakout halogen samurai stick bones lead the trend into a dark horse of counter trend growth halogen samurai in the category combination to barbecue hot pot dessert and other gold sucking categories on the catering track and halogen combined to form a collocation of products while empowering halogen multi dimensional to improve the consumption frequency of hot halogen to meet the needs of different generational consumer groups dining. halogen track once again stood in the spotlight the future the industry is still promising want to understand the brand can go to the official website.Original Source: natlawreview,"[['top', 'terms', 'epidemic', 'catering', 'breakout', 'halogen', 'samurai', 'stick', 'bones', 'lead', 'the', 'trend', 'into', 'dark', 'horse', 'counter', 'trend', 'growth', 'halogen', 'samurai', 'the', 'category', 'combination', 'barbecue', 'hot', 'pot', 'dessert', 'and', 'other', 'gold', 'sucking', 'categories', 'the', 'catering', 'track', 'and', 'halogen', 'combined', 'form', 'collocation', 'products', 'while', 'empowering', 'halogen', 'multi', 'dimensional', 'improve', 'the', 'consumption', 'frequency', 'hot', 'halogen', 'meet', 'the', 'needs', 'different', 'generational', 'consumer', 'groups', 'dining.'], ['halogen', 'track', 'once', 'again', 'stood', 'the', 'spotlight', 'the', 'future', 'the', 'industry', 'still', 'promising', 'want', 'understand', 'the', 'brand', 'can', 'the', 'official', 'website.Original', 'Source:', 'natlawreview']]",1,0
144,Top terms dairy testing market market by type product milk market research reportsOriginal Source: urdupoint,"[['Top', 'terms', 'dairy', 'testing', 'market', 'market', 'type', 'product', 'milk', 'market', 'research', 'reportsOriginal', 'Source:', 'urdupoint']]",1,0
145,LAHORE:Chief Minister Sardar Usman Buzdar on Friday said the land grabbers were officially patronised in the past; however the incumbent government had initiated across the board action against all such squatters and state lands worth more than Rs billion had been retrieved....Original Source: thenews pk,"[['LAHORE:Chief', 'Minister', 'Sardar', 'Usman', 'Buzdar', 'Friday', 'said', 'the', 'land', 'grabbers', 'were', 'officially', 'patronised', 'the', 'past;', 'however', 'the', 'incumbent', 'government', 'had', 'initiated', 'across', 'the', 'board', 'action', 'against', 'all', 'such', 'squatters', 'and', 'state', 'lands', 'worth', 'more', 'than', 'billion', 'had', 'been', 'retrieved....Original', 'Source:', 'thenews']]",1,0
146,Top terms plant dna barcoding german chamomile poisonous adulterants matricaria recutita chemical profilingOriginal Source: mdpi,"[['Top', 'terms', 'plant', 'dna', 'barcoding', 'german', 'chamomile', 'poisonous', 'adulterants', 'matricaria', 'recutita', 'chemical', 'profilingOriginal', 'Source:', 'mdpi']]",1,0
147,Top terms decaffeinated coffee market notes tmr study market to reach growing inclination awareness about benefitsOriginal Source: businessnewsthisweek,"[['Top', 'terms', 'decaffeinated', 'coffee', 'market', 'notes', 'tmr', 'study', 'market', 'reach', 'growing', 'inclination', 'awareness', 'about', 'benefitsOriginal', 'Source:', 'businessnewsthisweek']]",1,0
148,AP Standout receiver Mike Williams is all but certain not to play Saturday night when top ranked Southern California opens its season because of continuing delays in the school's appeal process to the NCAA. After that who knows?  USC has applied to the NCAA for a progress toward degree waiver and reinstatement of Williams' eligibility.,"[['Standout', 'receiver', 'Mike', 'Williams', 'all', 'but', 'certain', 'not', 'play', 'Saturday', 'night', 'when', 'top', 'ranked', 'Southern', 'California', 'opens', 'its', 'season', 'because', 'continuing', 'delays', 'the', ""school's"", 'appeal', 'process', 'the', 'NCAA.'], ['After', 'that', 'who', 'knows?'], ['USC', 'has', 'applied', 'the', 'NCAA', 'for', 'progress', 'toward', 'degree', 'waiver', 'and', 'reinstatement', ""Williams'"", 'eligibility.']]",0,1
149,The economic indicators such as GDP growth are important to assess the economic advancement of a nation. But economists and policymakers should come out of the obsession of using gross domestic product numbers and focus on the figures that people can see and relate to their lives said two noted economists....Original Source: thedailystarBD,"[['The', 'economic', 'indicators', 'such', 'GDP', 'growth', 'are', 'important', 'assess', 'the', 'economic', 'advancement', 'nation.'], ['But', 'economists', 'and', 'policymakers', 'should', 'come', 'out', 'the', 'obsession', 'using', 'gross', 'domestic', 'product', 'numbers', 'and', 'focus', 'the', 'figures', 'that', 'people', 'can', 'see', 'and', 'relate', 'their', 'lives', 'said', 'two', 'noted', 'economists....Original', 'Source:', 'thedailystarBD']]",1,0
150,Also Read | Spice launches new mobiles in J&K Urban House Spices a new brand of spices was displayed for the first time at the Kashmir University food festival. Also Read | C's Biryani Festival attracts food lovers Urban House Spices is a venture of Transitial Agro commodities which focuses on.......Original Source: greaterkashmir,"[['Also', 'Read', 'Spice', 'launches', 'new', 'mobiles', 'J&K', 'Urban', 'House', 'Spices', 'new', 'brand', 'spices', 'was', 'displayed', 'for', 'the', 'first', 'time', 'the', 'Kashmir', 'University', 'food', 'festival.'], ['Also', 'Read', ""C's"", 'Biryani', 'Festival', 'attracts', 'food', 'lovers', 'Urban', 'House', 'Spices', 'venture', 'Transitial', 'Agro', 'commodities', 'which', 'focuses', 'on.......Original', 'Source:', 'greaterkashmir']]",1,0
151,Top terms litres adulterated milk pfa disposes pakistan point news punjab food authority sultan and akberOriginal Source: yangtse,"[['Top', 'terms', 'litres', 'adulterated', 'milk', 'pfa', 'disposes', 'pakistan', 'point', 'news', 'punjab', 'food', 'authority', 'sultan', 'and', 'akberOriginal', 'Source:', 'yangtse']]",1,0
152,Biotechnology as defined by the Organization of Economic Cooperation and Development refers to “the application of scientific and engineering principles to the processing of materials by biological agents to provide goods and services.” Some applications of biotechnology include developing food.......Original Source: fda,"[['Biotechnology', 'defined', 'the', 'Organization', 'Economic', 'Cooperation', 'and', 'Development', 'refers', '“the', 'application', 'scientific', 'and', 'engineering', 'principles', 'the', 'processing', 'materials', 'biological', 'agents', 'provide', 'goods', 'and', 'services.”', 'Some', 'applications', 'biotechnology', 'include', 'developing', 'food.......Original', 'Source:', 'fda']]",1,0
153,Centre for Science and Environment CSE December rebutted China based Wuhu Deli Foods’ criticisim of the Delhi based nonprofit’s investigation into adulteration in honey and the role played by Chinese companies in selling sugar syrup in India....Original Source: fda,"[['Centre', 'for', 'Science', 'and', 'Environment', 'CSE', 'December', 'rebutted', 'China', 'based', 'Wuhu', 'Deli', 'Foods’', 'criticisim', 'the', 'Delhi', 'based', 'nonprofit’s', 'investigation', 'into', 'adulteration', 'honey', 'and', 'the', 'role', 'played', 'Chinese', 'companies', 'selling', 'sugar', 'syrup', 'India....Original', 'Source:', 'fda']]",1,0
154,Original Source: downtoearth,"[['Original', 'Source:', 'downtoearth']]",1,0
155,AP Premier Silvio Berlusconi an important ally for President Bush in Iraq was acquitted of corruption charges that have dogged his government from the start. The verdict was a boost to the conservative leader ahead of elections. Berlusconi has long insisted he was the victim of left wing prosecutors.,"[['Premier', 'Silvio', 'Berlusconi', 'important', 'ally', 'for', 'President', 'Bush', 'Iraq', 'was', 'acquitted', 'corruption', 'charges', 'that', 'have', 'dogged', 'his', 'government', 'from', 'the', 'start.'], ['The', 'verdict', 'was', 'boost', 'the', 'conservative', 'leader', 'ahead', 'elections.'], ['Berlusconi', 'has', 'long', 'insisted', 'was', 'the', 'victim', 'left', 'wing', 'prosecutors.']]",0,1
156,Top terms mobile food testing press release size press information bureau safety index flags welfare shri mansukhOriginal Source: pib gov in,"[['Top', 'terms', 'mobile', 'food', 'testing', 'press', 'release', 'size', 'press', 'information', 'bureau', 'safety', 'index', 'flags', 'welfare', 'shri', 'mansukhOriginal', 'Source:', 'pib', 'gov']]",1,0
157,the supreme tribunal of justice tsj is investigating the alleged tampering of a resolution of the against pedro montenegro. the irregularity would have been used for the drug trafficker pedro to evade the warrant of arrest for extradition that had since ....Original Source: dailytrust,"[['the', 'supreme', 'tribunal', 'justice', 'tsj', 'investigating', 'the', 'alleged', 'tampering', 'resolution', 'the', 'against', 'pedro', 'montenegro.'], ['the', 'irregularity', 'would', 'have', 'been', 'used', 'for', 'the', 'drug', 'trafficker', 'pedro', 'evade', 'the', 'warrant', 'arrest', 'for', 'extradition', 'that', 'had', 'since', '....Original', 'Source:', 'dailytrust']]",1,0
